"CRASH DATE","CRASH TIME","BOROUGH","ZIP CODE","LATITUDE","LONGITUDE","LOCATION","ON STREET NAME","CROSS STREET NAME","OFF STREET NAME","NUMBER OF PERSONS INJURED","NUMBER OF PERSONS KILLED","NUMBER OF PEDESTRIANS INJURED","NUMBER OF PEDESTRIANS KILLED","NUMBER OF CYCLIST INJURED","NUMBER OF CYCLIST KILLED","NUMBER OF MOTORIST INJURED","NUMBER OF MOTORIST KILLED","CONTRIBUTING FACTOR VEHICLE 1","CONTRIBUTING FACTOR VEHICLE 2","CONTRIBUTING FACTOR VEHICLE 3","CONTRIBUTING FACTOR VEHICLE 4","CONTRIBUTING FACTOR VEHICLE 5","COLLISION_ID","VEHICLE TYPE CODE 1","VEHICLE TYPE CODE 2","VEHICLE TYPE CODE 3","VEHICLE TYPE CODE 4","VEHICLE TYPE CODE 5"
"08/21/2021",08:07:00,"QUEENS",11106,40.758125,-73.928505,"(40.758125, -73.928505)","31 STREET","35 AVENUE",NA,1,1,0,0,0,0,1,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4451296,"Station Wagon/Sport Utility Vehicle","Motorcycle",NA,NA,NA
"08/24/2021",21:23:00,"BROOKLYN",11233,40.675716,-73.9142,"(40.675716, -73.9142)",NA,NA,"2185      PACIFIC STREET",0,1,0,1,0,0,0,0,"Driver Inexperience",NA,NA,NA,NA,4456041,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"04/19/2021",08:39:00,"BROOKLYN",11204,40.61424,-73.98824,"(40.61424, -73.98824)","BAY RIDGE AVENUE","20 AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4410382,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"03/30/2021",13:09:00,"MANHATTAN",10021,40.77437,-73.963554,"(40.77437, -73.963554)","MADISON AVENUE","EAST 76 STREET",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4404422,"Van",NA,NA,NA,NA
"05/03/2021",23:10:00,"QUEENS",11434,40.68775,-73.79039,"(40.68775, -73.79039)","LINDEN BOULEVARD","157 STREET",NA,0,1,0,0,0,0,0,1,"Unsafe Speed","Unspecified","Unspecified",NA,NA,4413273,"Station Wagon/Sport Utility Vehicle","Sedan","Pick-up Truck",NA,NA
"09/19/2021",23:17:00,"MANHATTAN",10017,40.751892,-73.9676,"(40.751892, -73.9676)","1 AVENUE","EAST 47 STREET",NA,0,1,0,0,0,0,0,1,"Alcohol Involvement","Unspecified",NA,NA,NA,4458952,"Motorscooter","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"03/28/2022",08:25:00,"MANHATTAN",10037,40.820435,-73.93623,"(40.820435, -73.93623)","WEST 145 STREET","LENOX AVENUE",NA,2,1,1,1,0,0,1,0,"Unspecified","Unspecified","Unspecified","Unspecified","Unspecified",4514342,"Sedan","Station Wagon/Sport Utility Vehicle","Sedan","Sedan","Station Wagon/Sport Utility Vehicle"
"11/17/2021",06:00:00,"QUEENS",11434,40.66675,-73.779945,"(40.66675, -73.779945)","SOUTH CONDUIT AVENUE","ROCKAWAY BOULEVARD",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4478429,"Bus",NA,NA,NA,NA
"06/29/2022",23:54:00,"BRONX",10455,40.814266,-73.912964,"(40.814266, -73.912964)","EAST 149 STREET","SAINT ANNS AVENUE",NA,0,1,0,0,0,1,0,0,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4542310,"Sedan","E-Bike",NA,NA,NA
"05/13/2021",10:31:00,"BROOKLYN",11212,40.65461,-73.922,"(40.65461, -73.922)","REMSEN AVENUE","KINGS HIGHWAY",NA,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,4417575,NA,NA,NA,NA,NA
"11/22/2021",18:10:00,"BROOKLYN",11207,40.65414,-73.88732,"(40.65414, -73.88732)","PENNSYLVANIA AVENUE","COZINE AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4481718,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"09/25/2021",22:26:00,"BROOKLYN",11207,40.65753,-73.89797,"(40.65753, -73.89797)","SNEDIKER AVENUE","LINDEN BOULEVARD",NA,0,1,0,0,0,1,0,0,"Unspecified","Unspecified",NA,NA,NA,4461286,"E-Bike",NA,NA,NA,NA
"05/06/2021",14:02:00,"STATEN ISLAND",10307,40.505527,-74.23819,"(40.505527, -74.23819)","HYLAN BOULEVARD","SPRAGUE AVENUE",NA,0,1,0,0,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Unspecified",NA,NA,NA,4415906,"E-Bike","Pick-up Truck",NA,NA,NA
"05/17/2021",19:20:00,"BROOKLYN",11211,40.71045,-73.95687,"(40.71045, -73.95687)","SOUTH 3 STREET","MARCY AVENUE",NA,1,1,0,0,0,0,1,1,"Unsafe Speed","Unspecified","Unspecified","Unspecified","Unspecified",4417621,"Station Wagon/Sport Utility Vehicle","Box Truck","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan"
"05/18/2021",00:45:00,"BROOKLYN",11222,40.720795,-73.94496,"(40.720795, -73.94496)","MC GUINNESS BLVD SOUTH","BAYARD STREET",NA,0,1,0,1,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,4417604,"Sedan",NA,NA,NA,NA
"08/31/2021",02:39:00,"BROOKLYN",11201,40.691193,-73.99777,"(40.691193, -73.99777)","HICKS STREET","ATLANTIC AVENUE",NA,1,1,0,0,0,0,1,1,"Unsafe Speed","Unspecified",NA,NA,NA,4452542,"Sedan","Tractor Truck Diesel",NA,NA,NA
"02/22/2022",01:30:00,"BROOKLYN",11236,40.645397,-73.91893,"(40.645397, -73.91893)","DITMAS AVENUE","BRANTON STREET",NA,1,1,0,0,0,0,1,1,"Unsafe Speed","Unspecified","Unspecified",NA,NA,4504805,"Sedan","Tractor Truck Diesel","Station Wagon/Sport Utility Vehicle",NA,NA
"09/28/2021",11:13:00,"BROOKLYN",11223,40.59783,-73.96549,"(40.59783, -73.96549)","OCEAN PARKWAY","AVENUE U",NA,1,1,1,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4462331,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"06/30/2022",14:29:00,"BROOKLYN",11219,40.633083,-74.00558,"(40.633083, -74.00558)","FORT HAMILTON PARKWAY","60 STREET",NA,0,1,0,0,0,0,0,0,"Other Vehicular","Unspecified","Unspecified",NA,NA,4542311,"Tractor Truck Diesel","Sedan","E-Scooter",NA,NA
"10/27/2021",20:22:00,"BRONX",10467,40.861404,-73.87059,"(40.861404, -73.87059)","BRONX PARK EAST","WARING AVENUE",NA,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction",NA,NA,NA,NA,4476009,"Motorscooter",NA,NA,NA,NA
"12/13/2021",16:52:00,"QUEENS",11385,40.7104,-73.86663,"(40.7104, -73.86663)","COOPER AVENUE","83 STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4486552,"Sedan",NA,NA,NA,NA
"12/24/2021",09:21:00,"MANHATTAN",10065,40.762802,-73.965675,"(40.762802, -73.965675)","EAST 61 STREET","3 AVENUE",NA,0,2,0,1,0,1,0,0,"Unspecified","Unspecified","Unspecified",NA,NA,4490224,"Box Truck","Station Wagon/Sport Utility Vehicle","E-Bike",NA,NA
"05/24/2021",06:45:00,"QUEENS",11354,40.769283,-73.82445,"(40.769283, -73.82445)","PARSONS BOULEVARD","32 AVENUE",NA,0,1,0,0,0,1,0,0,"Failure to Yield Right-of-Way","Unspecified",NA,NA,NA,4420981,"Pick-up Truck","E-Bike",NA,NA,NA
"05/28/2021",13:15:00,"QUEENS",11373,40.74331,-73.87451,"(40.74331, -73.87451)","43 AVENUE","91 PLACE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4422372,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"05/30/2021",19:47:00,"BROOKLYN",11238,40.682,-73.96867,"(40.682, -73.96867)","ATLANTIC AVENUE","CLERMONT AVENUE",NA,0,1,0,0,0,0,0,1,"Unspecified","Unspecified",NA,NA,NA,4422371,"Motorscooter","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"05/28/2021",20:39:00,"QUEENS",11105,40.777958,-73.90847,"(40.777958, -73.90847)","21 AVENUE","31 STREET",NA,1,1,0,1,1,0,0,0,"Unspecified",NA,NA,NA,NA,4421901,"E-Bike",NA,NA,NA,NA
"10/02/2021",02:46:00,"BRONX",10457,40.84497,-73.90247,"(40.84497, -73.90247)","WEBSTER AVENUE","ITTNER PLACE",NA,0,1,0,0,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4463262,"E-Bike",NA,NA,NA,NA
"06/01/2021",06:20:00,"BRONX",10475,40.880535,-73.83212,"(40.880535, -73.83212)","NEW ENGLAND THRUWAY","REEDS MILL LANE",NA,0,1,0,0,0,0,0,1,"Lost Consciousness",NA,NA,NA,NA,4422826,"Pick-up Truck",NA,NA,NA,NA
"08/01/2020",17:16:00,"BRONX",10462,40.840508,-73.85515,"(40.840508, -73.85515)","METROPOLITAN AVENUE","LINDEN DRIVE",NA,0,1,0,0,0,1,0,0,"Failure to Yield Right-of-Way","Unspecified",NA,NA,NA,4334713,"Sedan","E-Bike",NA,NA,NA
"09/28/2021",20:55:00,"MANHATTAN",10040,40.853714,-73.92681,"(40.853714, -73.92681)","AMSTERDAM AVENUE","WEST 190 STREET",NA,0,1,0,0,0,0,0,1,"Unsafe Speed","Unspecified",NA,NA,NA,4464988,"Motorcycle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"05/01/2021",19:10:00,"QUEENS",11434,40.686516,-73.78883,"(40.686516, -73.78883)","157 STREET","115 AVENUE",NA,0,1,0,0,0,0,0,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4413106,"Motorcycle","Sedan",NA,NA,NA
"06/04/2021",18:34:00,"MANHATTAN",10023,40.77353,-73.98534,"(40.77353, -73.98534)","AMSTERDAM AVENUE","WEST 64 STREET",NA,0,1,0,1,0,0,0,0,"Traffic Control Disregarded",NA,NA,NA,NA,4425001,"ELECTRIC S",NA,NA,NA,NA
"05/25/2021",22:09:00,"BRONX",10472,40.828514,-73.879974,"(40.828514, -73.879974)",NA,NA,"1500      WESTCHESTER AVENUE",0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4420918,"Sedan",NA,NA,NA,NA
"12/31/2021",19:40:00,"BRONX",10459,40.831123,-73.89148,"(40.831123, -73.89148)",NA,NA,"1327      SOUTHERN BOULEVARD",0,1,0,0,0,0,0,1,"Turning Improperly","Unsafe Speed",NA,NA,NA,4491128,"Station Wagon/Sport Utility Vehicle","E-scooter",NA,NA,NA
"12/29/2021",04:20:00,"MANHATTAN",10019,40.766777,-73.996765,"(40.766777, -73.996765)","12 AVENUE","WEST 50 STREET",NA,0,1,0,0,0,0,0,1,"Unspecified","Unspecified",NA,NA,NA,4490514,"Station Wagon/Sport Utility Vehicle","Sedan",NA,NA,NA
"06/10/2021",23:43:00,"BROOKLYN",11234,40.607178,-73.91642,"(40.607178, -73.91642)","NATIONAL DRIVE","STRICKLAND AVENUE",NA,4,1,0,0,0,0,4,1,"Unsafe Speed",NA,NA,NA,NA,4426256,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"06/12/2021",16:05:00,"QUEENS",11427,40.72416,-73.754974,"(40.72416, -73.754974)","HILLSIDE AVENUE","HOLLIS COURT BOULEVARD",NA,0,1,0,0,0,0,0,1,"Physical Disability","Unspecified",NA,NA,NA,4427132,"Sedan","Sedan",NA,NA,NA
"06/12/2021",03:55:00,"MANHATTAN",10036,40.75979,-73.98793,"(40.75979, -73.98793)","WEST 46 STREET","8 AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4426252,"Taxi",NA,NA,NA,NA
"10/04/2021",15:42:00,"MANHATTAN",10021,40.76975,-73.96061,"(40.76975, -73.96061)","EAST 72 STREET","3 AVENUE",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4464559,"Bus",NA,NA,NA,NA
"06/13/2021",03:10:00,"QUEENS",11436,40.679363,-73.7973,"(40.679363, -73.7973)","FOCH BOULEVARD","144 STREET",NA,0,1,0,0,0,0,0,1,"Unsafe Speed","Unspecified","Unspecified",NA,NA,4426623,"Sedan","Sedan","Box Truck",NA,NA
"06/15/2021",03:36:00,"MANHATTAN",10002,40.71997,-73.992905,"(40.71997, -73.992905)","DELANCEY STREET","CHRYSTIE STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4427548,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"01/02/2022",10:15:00,"QUEENS",11426,40.7432,-73.71935,"(40.7432, -73.71935)","UNION TURNPIKE","251 STREET",NA,0,1,0,0,0,0,0,1,"Illnes",NA,NA,NA,NA,4491477,"Sedan",NA,NA,NA,NA
"01/02/2022",01:22:00,"BRONX",10467,40.882217,-73.88046,"(40.882217, -73.88046)","EAST GUN HILL ROAD","DEKALB AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4491529,"AMBULANCE",NA,NA,NA,NA
"07/02/2022",19:03:00,"BRONX",10454,40.80422,-73.91135,"(40.80422, -73.91135)","WILLOW AVENUE","EAST 138 STREET",NA,0,1,0,0,0,0,0,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4543289,"Motorcycle","Dump",NA,NA,NA
"07/01/2022",23:47:00,"BRONX",10457,40.84893,-73.890465,"(40.84893, -73.890465)","HUGHES AVENUE","EAST 180 STREET",NA,0,1,0,0,0,0,0,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4543258,"Station Wagon/Sport Utility Vehicle","Unknown",NA,NA,NA
"12/20/2021",10:40:00,"BROOKLYN",11215,40.67641,-73.98047,"(40.67641, -73.98047)","5 AVENUE","UNION STREET",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4488262,"Pick-up Truck",NA,NA,NA,NA
"02/19/2022",20:03:00,"BROOKLYN",11234,40.61895,-73.92689,"(40.61895, -73.92689)","UTICA AVENUE","AVENUE N",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4504756,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"06/18/2021",23:22:00,"BRONX",10467,40.866047,-73.87207,"(40.866047, -73.87207)","SOUTHERN BOULEVARD","BRONX RIVER PARKWAY",NA,0,1,0,0,0,1,0,0,"Unsafe Speed","Unspecified",NA,NA,NA,4428754,"Sedan","Bike",NA,NA,NA
"01/04/2022",00:42:00,"BROOKLYN",11222,40.72083,-73.93814,"(40.72083, -73.93814)","MORGAN AVENUE","DIVISION PLACE",NA,1,1,0,0,0,0,1,1,"Unsafe Speed","Unspecified",NA,NA,NA,4491817,"Sedan","Dump",NA,NA,NA
"01/04/2022",19:21:00,"BROOKLYN",11235,40.58038,-73.967606,"(40.58038, -73.967606)","OCEAN PARKWAY","NEPTUNE AVENUE",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4492002,"Sedan",NA,NA,NA,NA
"06/20/2021",23:22:00,"QUEENS",11693,40.586315,-73.80653,"(40.586315, -73.80653)","SHORE FRONT PARKWAY","BEACH 81 STREET",NA,0,1,0,0,0,0,0,1,"Unsafe Speed",NA,NA,NA,NA,4429676,"Motorcycle",NA,NA,NA,NA
"06/17/2021",08:26:00,"MANHATTAN",10001,40.74658,-73.99756,"(40.74658, -73.99756)","8 AVENUE","WEST 25 STREET",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4428465,"Pick-up Truck",NA,NA,NA,NA
"01/08/2022",05:18:00,"BRONX",10474,40.81005,-73.88724,"(40.81005, -73.88724)","OAK POINT AVENUE","MANIDA STREET",NA,1,1,0,0,0,0,1,1,"Alcohol Involvement","Unspecified",NA,NA,NA,4492843,"Sedan","Tractor Truck Diesel",NA,NA,NA
"07/03/2022",14:57:00,"BRONX",10472,40.83202,-73.87323,"(40.83202, -73.87323)","METCALF AVENUE","EAST 172 STREET",NA,0,1,0,0,0,1,0,0,"Traffic Control Disregarded","Unspecified","Unspecified","Unspecified",NA,4543294,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan","E-Bike",NA
"06/13/2021",03:50:00,"QUEENS",11379,40.714622,-73.90117,"(40.714622, -73.90117)","FRESH POND ROAD","ELIOT AVENUE",NA,2,1,0,0,0,0,2,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4432163,"Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA,NA,NA
"06/28/2021",19:27:00,"BROOKLYN",11203,40.637455,-73.92886,"(40.637455, -73.92886)","UTICA AVENUE","FARRAGUT ROAD",NA,1,1,0,0,0,0,1,1,"Unsafe Speed","Unspecified","Unspecified","Unspecified","Unspecified",4432786,"Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan"
"06/29/2021",00:21:00,"BROOKLYN",11207,40.676144,-73.893074,"(40.676144, -73.893074)","ATLANTIC AVENUE","BRADFORD STREET",NA,2,1,0,0,0,0,2,1,"Unspecified","Unspecified","Unspecified","Unspecified",NA,4432515,"Sedan","Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle",NA
"04/01/2022",16:50:00,"MANHATTAN",10029,40.790253,-73.94564,"(40.790253, -73.94564)","3 AVENUE","EAST 104 STREET",NA,0,1,0,1,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,NA,4515533,"E-Scooter",NA,NA,NA,NA
"07/01/2021",05:24:00,"BRONX",10451,40.819786,-73.91216,"(40.819786, -73.91216)","BROOK AVENUE","EAST 156 STREET",NA,0,1,0,0,0,1,0,0,"Unspecified","Unspecified",NA,NA,NA,4433274,"Sedan","E-Bike",NA,NA,NA
"06/29/2021",17:38:00,"MANHATTAN",10024,40.785294,-73.969345,"(40.785294, -73.969345)","CENTRAL PARK WEST","WEST 86 STREET",NA,0,1,0,0,0,1,0,0,"Driver Inattention/Distraction","Pedestrian/Bicyclist/Other Pedestrian Error/Confusion",NA,NA,NA,4433548,"Box Truck","Bike",NA,NA,NA
"07/01/2021",06:49:00,"MANHATTAN",10022,40.75831,-73.96294,"(40.75831, -73.96294)","EAST 57 STREET","1 AVENUE",NA,0,1,0,0,0,0,0,1,"Driver Inattention/Distraction","Unspecified",NA,NA,NA,4433109,"Station Wagon/Sport Utility Vehicle","Motorcycle",NA,NA,NA
"06/28/2021",07:10:00,"BROOKLYN",11234,40.62788,-73.93251,"(40.62788, -73.93251)","KINGS HIGHWAY","AVENUE J",NA,0,1,0,0,0,0,0,1,"Traffic Control Disregarded","Unspecified",NA,NA,NA,4434120,"Motorcycle","Sedan",NA,NA,NA
"01/14/2022",04:28:00,"BRONX",10472,40.82866,-73.87824,"(40.82866, -73.87824)","WESTCHESTER AVENUE","BOYNTON AVENUE",NA,0,1,0,0,0,0,0,0,"Unspecified",NA,NA,NA,NA,4494526,"E-Bike",NA,NA,NA,NA
"12/03/2021",13:19:00,"BROOKLYN",11234,40.61138,-73.93317,"(40.61138, -73.93317)","FILLMORE AVENUE","EAST 36 STREET",NA,0,1,0,1,0,0,0,0,"Driver Inattention/Distraction",NA,NA,NA,NA,4483619,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"07/08/2021",01:09:00,"BROOKLYN",11207,40.661385,-73.8841,"(40.661385, -73.8841)","LINDEN BOULEVARD","SCHENCK AVENUE",NA,0,1,0,0,0,0,0,1,"Unspecified","Unspecified",NA,NA,NA,4435311,"Motorcycle","Sedan",NA,NA,NA
"07/07/2021",22:48:00,"BROOKLYN",11212,40.659485,-73.918304,"(40.659485, -73.918304)","ROCKAWAY PARKWAY","LENOX ROAD",NA,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,4435313,NA,NA,NA,NA,NA
"01/17/2022",07:55:00,"BROOKLYN",11229,40.611477,-73.94883,"(40.611477, -73.94883)","AVENUE P","BEDFORD AVENUE",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4495574,"Bus",NA,NA,NA,NA
"07/17/2021",03:23:00,"BROOKLYN",11233,40.677288,-73.92824,"(40.677288, -73.92824)","ATLANTIC AVENUE","HUNTERFLY PLACE",NA,1,1,0,0,0,0,1,1,"Unsafe Speed",NA,NA,NA,NA,4437642,"Sedan",NA,NA,NA,NA
"07/18/2021",02:39:00,"QUEENS",11385,40.703434,-73.91181,"(40.703434, -73.91181)","CYPRESS AVENUE","MENAHAN STREET",NA,0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4438609,"Taxi",NA,NA,NA,NA
"05/24/2021",00:27:00,"QUEENS",11417,40.680687,-73.84459,"(40.680687, -73.84459)","WOODHAVEN BOULEVARD","ROCKAWAY BOULEVARD",NA,0,2,0,2,0,0,0,0,"Unspecified",NA,NA,NA,NA,4420041,"Sedan",NA,NA,NA,NA
"07/22/2021",04:58:00,"BRONX",10472,40.826656,-73.8739,"(40.826656, -73.8739)","MORRISON AVENUE","WATSON AVENUE",NA,0,1,0,0,0,0,0,1,"Unsafe Speed",NA,NA,NA,NA,4439478,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"07/22/2021",06:08:00,"BROOKLYN",11218,40.647594,-73.97351,"(40.647594, -73.97351)","CATON AVENUE","EAST 7 STREET",NA,0,1,0,0,0,0,0,0,"Pedestrian/Bicyclist/Other Pedestrian Error/Confusion","Unspecified","Unspecified",NA,NA,4439505,"E-Bike","Dump","Station Wagon/Sport Utility Vehicle",NA,NA
"09/25/2021",06:37:00,"BROOKLYN",11212,40.666189,-73.9166575,"(40.666189, -73.9166575)","SARATOGA AVENUE","SUTTER AVENUE",NA,2,1,0,0,0,0,2,1,"Alcohol Involvement","Unspecified","Unspecified","Unspecified","Unspecified",4461288,"Sedan","Station Wagon/Sport Utility Vehicle","Station Wagon/Sport Utility Vehicle","Sedan","Sedan"
"02/21/2022",10:27:00,"BROOKLYN",11218,40.631275,-73.97606,"(40.631275, -73.97606)","18 AVENUE","EAST 2 STREET",NA,0,1,0,1,0,0,0,0,"Failure to Yield Right-of-Way",NA,NA,NA,NA,4505026,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
"11/26/2020",21:11:00,"BRONX",10452,40.843174,-73.91196,"(40.843174, -73.91196)","GRAND CONCOURSE","EAST MOUNT EDEN AVENUE",NA,0,1,0,1,0,0,0,0,"Obstruction/Debris",NA,NA,NA,NA,4372558,"Sedan",NA,NA,NA,NA
"07/24/2021",20:38:00,"QUEENS",11434,40.65616,-73.76736,"(40.65616, -73.76736)","ROCKAWAY BOULEVARD","BREWER BOULEVARD",NA,4,2,0,0,0,0,4,2,"Unsafe Speed","Failure to Yield Right-of-Way",NA,NA,NA,4442158,"Sedan","Sedan",NA,NA,NA
"08/01/2021",02:13:00,"BROOKLYN",11213,40.677715,-73.93587,"(40.677715, -73.93587)","ATLANTIC AVENUE","TROY AVENUE",NA,1,1,0,0,0,0,1,1,"Unspecified",NA,NA,NA,NA,4442673,"Motorcycle",NA,NA,NA,NA
"07/09/2021",18:40:00,"BROOKLYN",11220,40.646374,-74.01591,"(40.646374, -74.01591)",NA,NA,"5223      3 AVENUE",0,1,0,1,0,0,0,0,"Unspecified",NA,NA,NA,NA,4443281,"Station Wagon/Sport Utility Vehicle",NA,NA,NA,NA
